dialog_id,original_text,detected_brand,normalized_brand,confidence
0,"это атлас пласт отвод, канализационный 90 ° и AE&T, отвод канализационный д 50 на 87 град серого цвета","это атлас пласт отвод, канализационный 90 ° и AE&T, отвод канализационный д 50 на 87 град серого цвета",атлас пласт,0.99
0,"это атлас пласт отвод, канализационный 90 ° и AE&T, отвод канализационный д 50 на 87 град серого цвета","это атлас пласт отвод, канализационный 90 ° и AE&T, отвод канализационный д 50 на 87 град серого цвета",ae&t,0.99
6,"Менеджер: Да, все инструменты, точка ру.","Менеджер: Да, все инструменты, точка ру.",всеинструменты.ру,0.96
9,"Да, физическое заказ был оформлен через Яндекс Маркет.","Да, физическое заказ был оформлен через Яндекс Маркет.",яндекс маркет,0.98
9,Яндекс Маркета возврат одобрил,Яндекс Маркета возврат одобрил,яндекс маркет,0.98
9,"чтобы с вами связался менеджер, который работает у нас именно с Яндекс, Маркетом и Озоном.","чтобы с вами связался менеджер, который работает у нас именно с Яндекс, Маркетом и Озоном.",yandex,0.95
9,"чтобы с вами связался менеджер, который работает у нас именно с Яндекс, Маркетом и Озоном.","чтобы с вами связался менеджер, который работает у нас именно с Яндекс, Маркетом и Озоном.",ozon,0.9
12,через приложение Озон захожу в товар,через приложение Озон захожу в товар,ozon,0.99
15,заказал ножовочную пилу Интерскол МП. 120-10,заказал ножовочную пилу Интерскол МП. 120-10,интерскол,1.0
17,Кн Корп нижнее подчеркивание пр. Собака Майл Точка Ру.,Кн Корп нижнее подчеркивание пр. Собака Майл Точка Ру.,mile,0.92
18,В заказе у вас идет газонокосилка Элмас и нож.,В заказе у вас идет газонокосилка Элмас и нож.,elmos,0.99
19,"Клиент: А здрасьте, расскажите сейчас сбер, спасибо, то принимается к оплате или нет.","Клиент: А здрасьте, расскажите сейчас сбер, спасибо, то принимается к оплате или нет.",sber,0.99
25,"А да, магазин Все Инструменты, точка ру.","А да, магазин Все Инструменты, точка ру.",всеинструменты.ру,1.0
25,"Здравствуй, поддержки Яндекс Маркета.","Здравствуй, поддержки Яндекс Маркета.",яндекс маркет,1.0
35,"масло было, Лакерис, которого не было в наличии","масло было, Лакерис, которого не было в наличии",лакирис,0.99
36,у вас все инструменты.,у вас все инструменты.,всеинструменты.ру,0.95
43,"Пена монтажная Технониколь и кровельный герметик, битумно-каучуковый.","Пена монтажная Технониколь и кровельный герметик, битумно-каучуковый.",технониколь,0.99
43,"рисует 61, собака Майл Ру.","рисует 61, собака Майл Ру.",mile,0.97
48,"Менеджер: Но в данном случае там есть да, то есть они направляют к нам в чат звонить по телефону продавца. Также есть чат с продавцом, то есть вам именно туда надо написать вам по возврату, все уточнят чат с продавцом.","Менеджер: Но в данном случае там есть да, то есть они направляют к нам в чат звонить по телефону продавца. Также есть чат с продавцом, то есть вам именно туда надо написать вам по возврату, все уточнят чат с продавцом.",yandex,0.99
48,"Клиент: Добрый день, девушка, скажите, а через Яндекс Маркет там?","Клиент: Добрый день, девушка, скажите, а через Яндекс Маркет там?",yandex,0.99
48,"Клиент: Добрый день, девушка, скажите, а через Яндекс Маркет там?","Клиент: Добрый день, девушка, скажите, а через Яндекс Маркет там?",яндекс маркет,0.99
49,блистер патриот Бренда,блистер патриот Бренда,patriot,0.96
49,Цепная пила Бренда стран также ИНТЕРСКОЛ пила электрическая цепная,Цепная пила Бренда стран также ИНТЕРСКОЛ пила электрическая цепная,интерскол,0.98
49,Поступила 2000 ИНТЕРСКОЛ да ИНТЕРСКОЛ ИНТЕРСКОЛ,Поступила 2000 ИНТЕРСКОЛ да ИНТЕРСКОЛ ИНТЕРСКОЛ,интерскол,0.98
49,"Шторм поступил да шторм пока на данный момент минуту посмотрю, штурм должен поступить","Шторм поступил да шторм пока на данный момент минуту посмотрю, штурм должен поступить",шторм,0.94
49,За ожидание да как раз таки штурм пила цепная,За ожидание да как раз таки штурм пила цепная,шторм,0.94
54,Супермат 200 калео называется Калео.,Супермат 200 калео называется Калео.,caleo,0.99
