source_text_index,source_text,dialog_gpt_summary,extracted_brands
0,"Менеджер: Здравствуйте, менеджер отдела поддержки Альбина, как могу вам помочь, Максим Викторович?
 Клиент: Здравствуйте, а можете отредактировать заказ, пожалуйста?
 Менеджер: Конечно, подскажите последние цифры номера заказа, будьте добры.
 Клиент: А 255 68
 Менеджер: 255 68 Да вижу ваш заказ, какие корректировки необходимо внести.
 Клиент: А там вот 1 отход я так понял то, что он заказан поставщика и будет не скоро, можно его удалить.
 Менеджер: Поняла, тогда действительно код придет с самой последней позиции 18 августа. Но если это необходимо, мы можем по заказу поставить частичную отгрузку, и тогда вы. Сможете забрать сначала те позиции, которые придут? Это атлас пласт отвод, канализационный 90 ° и AE&T, отвод канализационный д 50 на 87 град серого цвета, а уже.
 Клиент: А нет, я думаю, что тот отменить и эти 2 оставить, они же завтра смогут прийти.
 Менеджер: Угу.
 Менеджер: Да, вижу, что остальные 2 отвода у вас придут как раз таки 15 августа ориентировочно в 13 часов, но по факту поступления вам смс на номер. Телефона придет, подскажите, может быть, хотели бы подобрать какой либо отвод, который придет раньше, чем вот от футеба еще 1 в вашем заказе?
 Клиент: Да нет, я думаю, 2 штуки мне хватит.
 Менеджер: Хорошо минуту тогда, пожалуйста.
 Менеджер: Спасибо вам за ожидание, этот отвод канализации вам также убрала из вашего заказа. Теперь у вас сумма заказа составляет минуту, сейчас подскажу.
 Менеджер: Спасибо за ожидание 61 р, у вас будет к оплате по заказу, информация на сайте должна будет обновиться.
 Клиент: Спасибо большое.
 Менеджер: Я могу еще чем то вам помочь.
 Клиент: Нет все.
 Менеджер: Спасибо и вам за обращение оставайтесь на линии для оценки качества диалога хорошего вам дня до свидания.
 Клиент: Спасибо и вам.","{
  ""brands"": [
  {
  ""brand"": ""Атлас Пласт"",
  ""count"": ""1""
  },
  {
  ""brand"": ""AE&T"",
  ""count"": ""1""
  }
  ]
 }","[{""brand"": ""атлас пласт"", ""count"": 1}, {""brand"": ""AE&T"", ""count"": 1}]"
6,"Менеджер: Добрый день, Марина, менеджер поддержки, слушаю вас.
 Клиент: Алло, здравствуйте, все инструменты. Да, а слушайте, а у меня такой вопрос нам сейчас была поставка и мы.
 Менеджер: Да, все инструменты, точка ру.
 Клиент: 1 Позицию забыли в машине, а как то можно с водителем связаться?
 Менеджер: Пожалуйста, скажите, как я могу к вам обращаться?
 Клиент: А Дмитрий.
 Менеджер: Дмитрий, номер заказа или счета продиктуйте, пожалуйста.
 Клиент: Блин, у меня сейчас не при себе документы, а а компания название подойдет, чтоб.
 Менеджер: Нет, Дмитрий, тогда Инн, подскажите организации?
 Клиент: Так все, а сейчас я вам через минуточку позвоню, хорошо?
 Менеджер: Хорошо, Дмитрий, всего доброго, до свидания.","{
  ""brands"": [
  {
  ""brand"": ""ВсеИнструменты.ру"",
  ""count"": ""2""
  }
  ]
 }","[{""brand"": ""все инструменты"", ""count"": 1}, {""brand"": ""все инструменты, точка ру"", ""count"": 1}]"
9,"Менеджер: Добрый день, менеджер поддержки надежда, чем могу помочь.
 Клиент: Добрый день, я уже звоню несколько раз. Меня по вопросу перенаправляют в отдел поддержки обращений, но меня все время сбрасывает на этом этапе звонок.
 Менеджер: Угу.
 Менеджер: Так Так Так?
 Менеджер: Дмитрий Владимирович, 1 минуту.
 Клиент: Угу.
 Менеджер: Спасибо за ожидание, подскажите по поводу какого товара у вас вопрос? Может, знаете последние 5 цифры угу?
 Клиент: Для возврата товара
 Клиент: Номер заказа нужен вам.
 Менеджер: Да, последние 5 цифр.
 Клиент: 25 955
 Менеджер: Так 25 955 1 минуту.
 Менеджер: Спасибо за ожидание, подскажите, заказ оформлен на этот номер телефона?
 Клиент: Да, на этот.
 Менеджер: Так сейчас еще раз проверю, так это последние 5 25 955.
 Менеджер: Спасибо за ожидание по данному номеру телефона. Такого заказа последних 5 цифр я не вижу на физическое лицо, заказ оформлен.
 Клиент: Да, физическое заказ был оформлен через Яндекс Маркет.
 Менеджер: А заказ оформлен через Яндекс. Маркет, а подскажите, какой у вас вопрос по заказу?
 Менеджер: Что с товаром не так?
 Клиент: Возврат
 Клиент: Все в порядке, просто не подошел, но вопрос в другом Яндекс. Маркет возврат одобрил, ну написал, что для выбора вместо возврата товара нужно связаться с продавцом, потому? Что товар получался путем выдачи, все инструменты не в Яндекс. Маркете и возвращать тоже надо во все инструменты, а выбрать он не дает. Он пишет, что вот надо позвонить и.
 Менеджер: Угу.
 Менеджер: Угу.
 Клиент: Уточнить удобный способ возврата.
 Менеджер: Так Так Так?
 Менеджер: Так поняла вас сейчас тогда минуту.
 Менеджер: Спасибо за ожидание, подскажите, сможете назвать полный номер заказа?
 Клиент: Да смогу сейчас.
 Менеджер: Записываю угу.
 Клиент: Так 25 0 8.
 Менеджер: Угу.
 Клиент: 754 332
 Менеджер: Угу угу.
 Клиент: 25 955
 Менеджер: 955 А Дмитрий Владимирович, смотрите, я сейчас сделаю запрос на почту и в течение суток с вами свяжется менеджер, который за это отвечает, также вы можете написать. В чате Яндекс Маркета именно в чат продавцу, и ребята, может, там помогут оперативнее, пока еще не отвечает. Тогда я сделаю запрос на почту, чтобы с вами связались.
 Клиент: Написал, никто не отвечает там.
 Клиент: Написал уже.
 Клиент: Вчера еще написал.
 Менеджер: Написали на почту или в чат?
 Клиент: Нет, в час.
 Менеджер: В чат я сейчас сделаю по вашему заказу запрос на почту.
 Менеджер: Чтобы с вами связался менеджер, который работает у нас именно с Яндекс, Маркетом и Озоном.
 Менеджер: В помогли выбрать вам предоставить пункт выдачи заказов почта, обрабатывается, но обычно в течение суток, поэтому в течение суток может быть раньше вам поступит обратная связь.
 Клиент: Угу, хорошо?
 Менеджер: Менеджер свяжется с вами.
 Клиент: Все понял, хорошо спасибо.
 Менеджер: Хорошего дня.
 Клиент: Спасибо до свидания.
 Менеджер: До свидания.","{
  ""brands"": [
  {
  ""brand"": ""Яндекс Маркет"",
  ""count"": ""6""
  },
  {
  ""brand"": ""ВсеИнструменты"",
  ""count"": ""2""
  },
  {
  ""brand"": ""Озон"",
  ""count"": ""1""
  }
  ]
 }","[{""brand"": ""Яндекс Маркет"", ""count"": 2}, {""brand"": ""Яндекс. Маркет"", ""count"": 2}, {""brand"": ""все инструменты"", ""count"": 2}, {""brand"": ""Яндекс, Маркетом"", ""count"": 1}, {""brand"": ""Озоном"", ""count"": 1}]"
12,"Менеджер: Добрый день, менеджер поддержки, чем могу помочь, здравствуйте.
 Клиент: Алло.
 Клиент: А здравствуйте, там просто хотел бы уточнить по заказу. Там должна была быть доставка, но так как я не смог присутствовать, мы договорились, что я сам приеду, заберу и мне бы узнать там адрес, где.
 Менеджер: Угу, а номер заказа сможете подсказать полностью.
 Клиент: Секунду сейчас зайду в приложение.
 Клиент: Так Так Так?
 Клиент: Так ну у меня тут трек номер!
 Клиент: Так секунду.
 Клиент: Как посмотреть то.
 Менеджер: А вы с телефона смотрите?
 Клиент: Алло.
 Клиент: М.
 Менеджер: А вы с телефона смотрите?
 Клиент: Ну да, я через приложение Озон захожу в товар, который заказывал там, просто вижу только трек номер.
 Клиент: Ну там.
 Менеджер: А вот если жать в сам заказ, там не будет цифр много.
 Клиент: Сейчас секунду.
 Клиент: А да есть.
 Менеджер: Угу записываю.
 Клиент: 48 55
 Менеджер: Угу.
 Клиент: 99 88
 Менеджер: Угу.
 Клиент: Дефис 00:47
 Менеджер: 1 Минуту, пожалуйста, уточню по вашему вопросу и вернусь к вам, оставайтесь на линии.
 Клиент: Ага,","{
  ""brands"": [
  {
  ""brand"": ""Ozon"",
  ""count"": ""1""
  }
  ]
 }","[{""brand"": ""Озон"", ""count"": 1}]"
15,"Менеджер: Добрый день, менеджер поддержки Алексей, слушаю вас.
 Клиент: День добрый, молодой человек, скажите, пожалуйста, вот такая ситуация? Я сделал заказ через магазин, через Интернет, магазин, и там была как бы скидочка по промокоду, ну 10, ну промокод Саммер. 10 Ну, то есть где то 10 вот заказал ножовочную пилу Интерскол МП. 120-10 10 И вот стоимость, 8 790 и вот я никак не могу понять, то ли прошла вот эта скидка либо, ну, то есть уже это итоговая стоимость. Получается, и скидка уже там заложен, либо скидка не прошла, и ну то есть вот эта стоимость товара без скидки вот нет.
 Менеджер: Скажите, пожалуйста, такая ситуация, я сделал заказ через магазин?
 Менеджер: Так ага?
 Менеджер: Так Так Так?
 Менеджер: Угу.
 Менеджер: Да, это стоимость товара без скидки у вас сейчас отображается в заказе.
 Клиент: А как скажите, пожалуйста, ее можно активировать скидку, потому что я как физическое лицо покупали это наживочным пилом?
 Клиент: Просто я сейчас приду.
 Менеджер: А Саммер 10 вот этот промокод его копируете и вставляете в поле промокод, и у вас итоговая цена будет 7911 р.
 Клиент: Ну, у меня смотрите, я заказал, то есть я пока оплату не проводил. Это как все сделать мне менеджер, ну работник, вот может помочь в этом как то или нет.
 Менеджер: Угу.
 Менеджер: Если только оформлять новый заказ, уже созданный заказ, мы промокод никак не пропишем.
 Клиент: То есть это получается, надо удалять вот этот заказ или как просто я сейчас вот?
 Менеджер: Да все верно, вот эта касса отменяется и, соответственно, создается новый уже с промокодом. Но смотрите, мы насчет промокода, я думаю, что только вы сможете самостоятельно через корзину, поскольку в поле промокод вводите вы его, то есть, ну, клиент.
 Клиент: Ну, это я понимаю, а если я сейчас отменю, а потом я сразу могу вот забрать ножовочный талон, потому что я как бы ну планировал ее приобрести.
 Менеджер: Да, вы тот же пункт выдачи выбираете, у вас заказ отменяется и резервируется товар, даже автоматически он зарезервируется у вас на этом же пункте выдачи и все.
 Клиент: Угу, хорошо?
 Менеджер: Если вдруг не зарезервируется, то на горячую линию позвоните. Мы подкорректируем, соответственно, перерезервируем, как нужно по вот этому адресу. Ну, дело в том, что да промокоды только клиент может сам через корзину вставлять.
 Клиент: Угу.
 Клиент: Ну хорошо, сейчас я попробую тогда так, ладно?
 Менеджер: Знаете, как сделать, сделайте заказ, можете прям сейчас. А хотя давайте попробуем, ну ка сейчас попробуем. Промокод промокод детства у нас здесь было.
 Клиент: Угу.
 Клиент: А вы можете сейчас, я вам подскажу номер заказа. Я просто вот стою у менеджера.
 Менеджер: Ну, я вижу, да я вижу ваш заказ на эту пилу сабельную.
 Клиент: 20 А.
 Клиент: Замечательно, а Господи, ваш телефон же отображается. Я то, что у меня же телефон привязан.
 Менеджер: Так правильно, куда в основном.
 Менеджер: Так нет, через программу мне не дает сделать. Тогда можете прямо сейчас попробовать через оформить заказ прям в режиме разговора. Хотите, сделайте так?
 Клиент: Угу.
 Клиент: Угу, так это мне надо, давайте, может быть, я вам перезвоню, вы же и.
 Менеджер: Получится или нет?
 Менеджер: Или потом, да сделайте заказ, я вот этот сейчас отменю тогда заказ. А вы сделаете новый с промокодом Саммер 10 и все, и потом позвоните, чтобы мы в резерв поставили. Вам просто мало ли не зарезервируется на данном пункте выдачи товара и вопрос решим.
 Клиент: Угу, хорошо?
 Клиент: Угу, угу угу, угу.
 Клиент: Угу хорошо, отлично, сейчас я тогда постараюсь быстренько все это оформить, если.
 Менеджер: Угу, угу, да в принципе не торопитесь. Я не думаю, что пила куда то уйдет.
 Клиент: Угу, ладно, все, если что, я вам отзвонюсь. Сейчас я пока здесь, в пункте выдачи, они тогда. Да мне как просто с продавцом поговорил.
 Менеджер: Да, да, угу!
 Менеджер: А вы еще в пункте выдачи находитесь, да?
 Менеджер: А ну ну тогда тогда смело можно, я тогда сейчас отмену делаю. Вот этого заказа, раз вы в пункте выдачи.
 Клиент: Угу угу.
 Менеджер: Оформляйте заказ и там промокод вот этот в корзине, не оформляя сам заказ. Вот обязательно не забудьте его вставить.
 Клиент: Угу.
 Клиент: А в корзине, когда в корзину брошу и в корзине его надо прикрепить. Да я так понял, Угу, все хорошо, отлично, я понял все сейчас.
 Менеджер: Да, да, да, да, все верно.
 Менеджер: Все этот заказ я в Черновик вам перевел, удалил.
 Клиент: Угу все сейчас, тогда сейчас я сделаю все, если что. Я вам отзвонюсь, Угу, все пока всего доброго.
 Менеджер: Але.
 Менеджер: Угу, если что, да, да, пожалуйста, спасибо.","{
  ""brands"": [
  {
  ""brand"": ""Интерскол"",
  ""count"": ""1""
  }
  ]
 }","[{""brand"": ""Интерскол"", ""count"": 1}]"
17,"Менеджер: Менеджер поддержки Ольга Добрый день, чем могу помочь?
 Клиент: Доброе утро, меня зовут Лыкова Алексея.
 Менеджер: Угу минуту, Наталья, уточните организацию, с которой обращаетесь угу минуту.
 Клиент: Лабилен.
 Менеджер: Так и вопрос по заказу правильно понимаю вас? Угу минуту информацию прикреплю, так Алексей сейчас не на линии. Могу соединить вас с замещающим здесь, в целом, вопрос какой у вас по заказу.
 Клиент: Да,
 Клиент: Да,
 Клиент: Я просто хотела понять, у нас очень счет уже старый. Ну сколько там дней, да и мы уже, а вот мы хотели бы сегодня оплатить его вопрос такой просто. Мне кажется, в пятницу, ну деньги в понедельник, грубо говоря, увидите. Ну, там, 1 рейсом, да соответственно, он актуальный счет этот или нет, вот.
 Менеджер: Угу угу.
 Менеджер: Угу угу.
 Менеджер: Так минуту Наталья из последних заказов в Дробнице. У вас поленница, этот заказ угу угу, ну так минуту сейчас посмотрю. Да все верно, Угу, да сейчас вам счет обновлю, продлю вам резерв счета именно и сможете оплатить так минуту.
 Клиент: Да 5 штук, да по моему коричневая.
 Клиент: Сота угу.
 Клиент: То есть по этому счету же можно правильно?
 Менеджер: Да, конечно.
 Клиент: Угу.
 Менеджер: Так счет вам обновила у вас 36045 р к оплате?
 Клиент: Угу.
 Клиент: Угу, все тогда тогда вместе мы оплачиваем, да все нормально, угу да жду.
 Менеджер: Угу, так и минуту сейчас обновлю угу минуту.
 Клиент: Да,
 Менеджер: Наталья, благодарю за ожидание, информацию обновила, можете оплачивать, так и у вас доставка курьерская. Так это уже у вас будет с учетом курьерской доставки? Да, Угу, так давайте еще раз я вам все таки новый счет продублирую на почту электронную.
 Клиент: Все угу.
 Клиент: Доставки да угу.
 Клиент: Давайте.
 Менеджер: Кн Корп нижнее подчеркивание пр. Собака Майл Точка Ру.
 Клиент: Да, да, да, да, да?
 Менеджер: Так информацию вам счет продублировала на почту, можете оплачивать.
 Клиент: Угу хорошо, все спасибо большое, да все все, все, а сейчас другое будет. До какого числа нового или что просто я, потому что бухгалтер у меня старый счет или какой то другой, или как?
 Менеджер: Могу еще чем то помочь Угу.
 Менеджер: Так там.
 Клиент: Ну то, что они продублировали счет какой то такой же, который был.
 Менеджер: Да он такой же аналогичный, просто новый обновила просто.
 Клиент: А
 Менеджер: Нет, счет счет этот же я вам просто его на почту еще раз продублировала на всякий случай угу, да, да?
 Клиент: Все продублировала все, я выбрала. Ага, все поставить надо тот счет, который Алексей, поэтому все тогда я оплачиваю, скажу бухгалтерии, чтобы она оплачивала, который у нее есть, все я поняла. Спасибо, спасибо, да нет, все все спасибо, да да всего доброго.
 Менеджер: Угу, угу, угу могу еще чем то помочь, если будут вопросы. Обращайтесь хорошего вечера до свидания.","{
  ""brands"": [
  {
  ""brand"": ""Лабилен"",
  ""count"": ""1""
  },
  {
  ""brand"": ""KN Corp"",
  ""count"": ""1""
  },
  {
  ""brand"": ""Mail.ru"",
  ""count"": ""1""
  }
  ]
 }","[{""brand"": ""Лабилен"", ""count"": 1}]"
18,"Менеджер: Менеджер поддержки, Степан, здравствуйте.
 Клиент: Здравствуйте, Иван.
 Менеджер: Степан.
 Клиент: А Степан, скажите, пожалуйста, мне Смска пришла, что газонокосилка пришла и сегодня мне пришла смска что? Ну, срок 3 дня это с какого дня сегодняшнего или завтрашнего?
 Менеджер: Сейчас секунду, пожалуйста.
 Клиент: Да посмотрите!
 Менеджер: В заказе у вас идет газонокосилка Элмас и нож.
 Клиент: Да, это когда включительно, по какое число.
 Менеджер: Для этой же.
 Менеджер: Смотрите, вижу, резерв у вас до 23 августа включительно.
 Клиент: А по 23 по 23 включительно.
 Менеджер: Да,
 Клиент: Ага, и тогда мне скажите режим работы вот в Ликино Дулево.
 Менеджер: Так, с 9 до 8 с понедельника по воскресенье.
 Клиент: Как мне узнать с
 Клиент: С 9 сейчас секундочку.
 Клиент: 9 20 Кроме субботы воскресенья.
 Менеджер: Нет, нет, с понедельника по воскресенье.
 Клиент: А а то есть мне без выходных?
 Менеджер: Да,
 Клиент: По воскресенью
 Клиент: Так, ну так то вроде больше ничего так не надо. Спасибо и могу там прямо карточкой расплатиться, да?
 Менеджер: Все верно.
 Клиент: Угу, хорошо, спасибо, до свидания, угу спасибо.
 Менеджер: То есть вопросов больше нет, всего доброго, до свидания.","{
  ""brands"": [
  {
  ""brand"": ""Элмас"",
  ""count"": ""1""
  }
  ]
 }","[{""brand"": ""Элмас"", ""count"": 1}]"
19,"Клиент: А
 Менеджер: Доброго дня хорошего настроения менеджер поддержки Дарья, чем могу помочь?
 Клиент: А здрасьте, расскажите сейчас сбер, спасибо, то принимается к оплате или нет.
 Менеджер: Иван, могу к вам обратиться.
 Клиент: Что?
 Менеджер: Иван, могу к вам обратиться, Иван. Нет, с июля месяца данная функция недоступна.
 Клиент: Да, да, да, да?
 Клиент: Очень долго, ладно, спасибо тогда.
 Менеджер: Угу могу еще чем то помочь.
 Клиент: Нет, спасибо.
 Менеджер: Спасибо вам за звонок всего доброго до свидания.
 Клиент: До свидания.","{
  ""brands"": [
  {
  ""brand"": ""СберСпасибо"",
  ""count"": ""1""
  }
  ]
 }","[{""brand"": ""сбер"", ""count"": 1}]"
24,"Менеджер: Добрый день, менеджер поддержки Ольга, чем могу помочь?
 Клиент: А добрый я сейчас просто с менеджером разговаривал. У меня оборвалась связь по поводу заказа.
 Клиент: Мне теперь вам надо продиктовать, наверное, номер.
 Менеджер: Можете номер заказа да назвать, я посмотрю, кто с вами общался.
 Клиент: Сейчас секунду.
 Клиент: Так 48 55
 Клиент: Алло.
 Менеджер: Да, я слушаю, но у нас другие номера заказов по другому начинаются.
 Менеджер: Во все инструменты оформляли заказ.
 Клиент: Да, да, ну я!
 Клиент: В Озоне заказывал, а пришло, ну там как пометка, что все инструменты.
 Менеджер: Ну, это просто как пункт выдачи наш используют. Нужно обращаться в поддержку, где вы заказывали, то есть в Озоне получается, мы не увидим этого заказа.
 Клиент: А вы из менеджер все инструменты?
 Менеджер: Все инструменты, да все верно.
 Клиент: А ну просто уже девушка начала заниматься вопросом и просто скинулась. А вы говорите, что вы не сможете.
 Менеджер: Ну, у нас номер заказа именно наш. Вы можете назвать, там 15 цифр будет на двойку обычно начинается?
 Клиент: Нет.
 Менеджер: Заказы Озона не отображаются угу.
 Клиент: Просто мне доставка должна была быть вчера, так как я физически не смог это ну присутствовать дома. Мы договорились мне там доставщик или кто звонил, что я заберу сам и просто, а вот где забирать, я хотел уточнить.
 Менеджер: Минуту, пожалуйста, а оформляли с этого номера телефона да заказ. Я сейчас попробую по номеру телефона найти минуту. Пожалуйста, подскажите, как я могу к вам обращаться?
 Клиент: А да, да, да?
 Клиент: Станислав.
 Менеджер: Станислав очень приятно 1 минуту.
 Клиент: Угу.
 Менеджер: На этом номере, с которого вы звоните, нет заказов.
 Менеджер: Обратитесь, пожалуйста, в поддержку Озон, где оформляли заказ.
 Клиент: Угу.
 Клиент: Хорошо, ладно, понял спасибо.
 Менеджер: Спасибо за обращение всего доброго до свидания.
 Клиент: До свидания.","{
  ""brands"": [
  {
  ""brand"": ""ВсеИнструменты"",
  ""count"": ""4""
  },
  {
  ""brand"": ""Ozon"",
  ""count"": ""4""
  }
  ]
 }","[{""brand"": ""все инструменты"", ""count"": 4}, {""brand"": ""Озоне"", ""count"": 2}, {""brand"": ""Озона"", ""count"": 1}, {""brand"": ""Озон"", ""count"": 1}]"
25,"Менеджер: Доброго дня хорошего настроения менеджер поддержки Дарья, чем могу помочь?
 Клиент: Здравствуй, поддержки Яндекс Маркета. Меня зовут Сергей, к нам обратился покупатель с проблемой, что пункт выдачи заказов закрыт. Удобно вообще записать номер заказа покупателя и который сейчас вам получить заказ не может.
 Менеджер: Да, сейчас минуту.
 Менеджер: Минуту.
 Клиент: Угу.
 Менеджер: Номер заказа назовите, пожалуйста.
 Клиент: 47
 Менеджер: Угу далее.
 Клиент: 39
 Менеджер: 39 Далее.
 Клиент: 51
 Клиент: 16
 Менеджер: 16
 Клиент: 0 34
 Менеджер: 0 34 0 34
 Менеджер: Внутренний номер Яндекс Маркета называете. У нас информация не отображается заказа. Подскажите, пожалуйста, у вас пункт выдачи отображается, какой должен быть?
 Клиент: Ммм можете, пожалуйста, повторить.
 Менеджер: А пункт выдачи у вас отображается, какой должен быть?
 Клиент: А да, магазин Все Инструменты, точка ру. Сейчас адрес Санкт Петербург, садовая, 17, а?
 Менеджер: Сейчас минуту посмотрим.
 Клиент: Поселок металлострой.
 Менеджер: Вообще должен до 9 работать, ой до, простите, до 8 сегодня работать пункт выдачи.
 Клиент: Угу, так сейчас смотрю, должна быть хорошо. Тогда спасибо за информацию всего доброго дня.
 Менеджер: Могу вам еще чем то помочь.
 Клиент: Нет, не надо, спасибо.
 Менеджер: Всего доброго, до свидания.
 Клиент: Всего доброго, до свидания.","{
  ""brands"": [
  {
  ""brand"": ""Яндекс Маркет"",
  ""count"": ""2""
  },
  {
  ""brand"": ""ВсеИнструменты.ру"",
  ""count"": ""1""
  }
  ]
 }","[{""brand"": ""Яндекс Маркета"", ""count"": 1}, {""brand"": ""Яндекс Маркет"", ""count"": 1}, {""brand"": ""Все Инструменты, точка ру"", ""count"": 1}]"
